1,Marcus Autism Center,"1920 Briarcliff Rd NE, Atlanta, GA 30329",4047859350,Specializes in the the diagnoses and various therapy treatment of individual with Autism.  ,5,TRUE,Therapy
2,Kiddo's Clubhouse Foundation,"11539 Park Woods Cir #502, Alpharetta, GA 30005",6785273224,Provides scholarships to families who are not able to pay for therapeutic services for their children with special needs,3,FALSE,Financial Support
3,Kiddo's Clubhouse ,"11539 Park Woods Cir #502, Alpharetta, GA 30005",6785273224,"Therapy services: Speech, Occupational, Physical, ABA, and more",4,TRUE,Therapy
4,Parent to Parent of Georgia,"3070 Presidential Pkwy #130, Atlanta, GA 30340",8002292038,Parent to Parent of Georgia provides support and information services and training and leadership opportunities for families who have children and youth with disabilities.,1,FALSE,Support 
5,Right Start Therapies ,"22995 Henry Clower Blvd SW #100, Snellville, GA 30078",7709959600,"Intervention clinic providing a host of therapies: Speech, Occupational, Physical, and Reading Tutoring",3,FALSE,Therapy
6,The Bridge of Georgia,"109 Blaine Street Monroe, GA 30655",7704066111,Private school focused on developing the abilities of children of all ages and abilities ,5,FALSE,Education
7,The Cloverleaf School ,"1894 Ludovie Lane Decatur, GA 30033",4044743904,"Non-profit school (Kindergarten through 8th Grade) that specializes in educating children with ADHD, Autism, Asperger’s, anxiety, and other learning differences to equip them with the skills needed to navigate the world with confidence.",4,FALSE,Education
8,MDE School ,"1517 Johnson Ferry Rd #100, Marietta, GA 30062",7709714633,"MDE School’s mission is to provide a loving environment for all children with delayed communication and language processing skills, while keeping a 4-1 ratio",5,FALSE,Education
9,Sensations Therafun ,"1704 Chantilly Drive NE, Atlanta, GA 30324",4046343500,"Sensations is an exciting, safe alternative to 'typical' playgrounds. It is designed especially for sensory recreation. It is great for kids who have Autism, are on the Autism Spectrum, have Sensory Processing Disorders, ADHD, Down's Syndrome, Asperger's Syndrome and all children who need sensory recreation. ",1,FALSE,Extracurricular 
10,Neveland Aquatics ,"2430 Nottingham Way, Cumming, GA 30040 ",7708276373,"Neverland Aquatics promotes a lifelong passion for fitness, hard work, self worth, and community through rigorous and meaningful therapeutic aquatic instruction for individuals with disabilities.",2,FALSE,Extracurricular 
11,Haven Hills Therapeutic Riding Center,"2403, 7580 Rivertown Rd, Fairburn, GA 30213",6782969693,"Provides recreational riding lessons for people with a disabilties such as: Autisum Spectrun Disorder, Sensory Intergration Disorder, etc. ",1,TRUE,Extracurricular 
12,Stone Soup Camp,"1789 State Hwy 11, Monroe, GA 30656",7702676603,"Provides summer day camps for children of all abilities. Services provided through The Bridge of Georgia School located in Monroe, GA.",1,FALSE,Extracurricular 
13,Camp You B You,"Decatur Family YMCA, 1100 Clairmont Ave, Decatur, GA 30030",4043779622,Camp You B You day camp offers social skills building within an inclusive setting for children ages 5-12 with autism and related disorders who present with moderate to high functioning skills.,3,FALSE,Extracurricular 
14,DDD Foundation,"52 Executive Park S Suite 5203, Atlanta, GA 30329",4049420086,Nonprofit dental office providing accessible and compassionate dental treatment to children and adults with developmental disabilities,4,TRUE,Medical
15,Children's Healthcare of Atlanta ,"Several Locations: 1405 Clifton Rd., Atlanta, GA 30329",4047855437,Specialized pediatric care. Our team makes sure your child is comfortable and happy,4,TRUE,Medical
16,Wheat Mission in Atlanta,"4281 Steve Reynolds Blvd #5 Norcross, GA 30093",7707170790,Full day education program designed to provide behavioral support and spend time with other individuals with similar symptoms to promote social interactions.,1,FALSE,Extracurricular 
17,Annandale Village,"3500 Annandale Ln. Suwanee, GA 30024",7709458381,"Full time care for individuals with mental health issues, similar to elderly centers and 24/7 coverage",3,FALSE,Medical
18,Disability Link,"1901 Montreal Rd #102, Tucker, GA 30084",4046878890,"Advocacy, transition, 4-core-services, independent living skills education center",1,FALSE,Support 
